ID;ID_Ocorrencia;Cidade;AeroPorto;Data;Hora;Falha_Ocorrencia;Modelo;Tipo_Motor;Fato_Contribuinte;Aspector;Ano
82910;82910;BA;ILHÉUS;20/12/2023;22:07:00;COLISÃO COM AVE;737-8HX;JATO;Sem Informaçao;Sem Informaçao;2023
82909;82909;SP;JUNDIAÍ;21/12/2023;18:15:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;PA-34-200;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82908;82908;MT;VÁRZEA GRANDE;22/12/2023;06:01:00;COLISÃO COM AVE;A321-211;JATO;Sem Informaçao;Sem Informaçao;2023
82907;82907;TO;PALMAS;22/12/2023;19:40:00;COLISÃO COM AVE;A319-132;JATO;Sem Informaçao;Sem Informaçao;2023
82906;82906;RJ;RIO DE JANEIRO;23/12/2023;19:29:00;COLISÃO COM AVE;ATR-72-212A (600);TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82905;82905;SC;JAGUARUNA;21/12/2023;23:17:00;COLISÃO COM AVE;A320-214;JATO;Sem Informaçao;Sem Informaçao;2023
82904;82904;PB;BAYEUX;22/12/2023;21:03:00;COLISÃO COM AVE;A321-231;JATO;Sem Informaçao;Sem Informaçao;2023
82903;82903;SE;ARACAJU;27/12/2023;09:56:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82902;82902;AP;MACAPÁ;26/12/2023;02:50:00;COLISÃO COM AVE;A320-214;JATO;Sem Informaçao;Sem Informaçao;2023
82901;82901;SP;CAMPINAS;27/12/2023;14:13:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;MONTAER MC01;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82900;82900;SP;JABOTICABAL;23/12/2023;12:00:00;INDETERMINADO;RV-10;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82899;82899;MG;CARMO DA CACHOEIRA;26/12/2023;13:40:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;PA-28-180;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82898;82898;SP;SÃO PAULO;26/12/2023;10:30:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;PA-34-200;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82897;82897;RS;DOM PEDRITO;17/12/2023;21:35:00;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;A188B;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82896;82896;SP;BIRITIBA-MIRIM;22/12/2023;18:00:00;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;PA-28R-201;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82895;82895;SP;GUARULHOS;25/10/2023;01:53:00;OUTROS;A320-214;JATO;Sem Informaçao;Sem Informaçao;2023
82894;82894;RJ;RIO DE JANEIRO;18/12/2023;05:35:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;B767;JATO;Sem Informaçao;Sem Informaçao;2023
82892;82892;DF;BRASÍLIA;23/11/2023;08:48:00;COLISÃO COM AVE;ERJ 190-200 IGW;JATO;Sem Informaçao;Sem Informaçao;2023
82891;82891;SP;CAMPINAS;22/11/2023;03:06:00;COLISÃO COM AVE;ATR-72-212A (600);TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82890;82890;MG;GOIANÁ;21/11/2023;01:40:00;COLISÃO COM AVE;ATR-72-212A (600);TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82889;82889;SP;ARAÇATUBA;21/11/2023;22:20:00;COLISÃO COM AVE;ATR-72-212A;TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82888;82888;SC;FLORIANÓPOLIS;20/11/2023;22:56:00;COLISÃO COM AVE;A320-251N;JATO;Sem Informaçao;Sem Informaçao;2023
82887;82887;MS;CAMPO GRANDE;20/11/2023;23:25:00;COLISÃO COM AVE;ERJ 190-400;JATO;Sem Informaçao;Sem Informaçao;2023
